SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-04 15:53:27.207317,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-82,3.0
1,DC:A6:32:55:FC:D8,2020-07-04 15:53:28.189119,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71,3.0
2,DC:A6:32:55:FC:D8,2020-07-04 15:53:29.354361,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
3,DC:A6:32:55:FC:D8,2020-07-04 15:53:31.123302,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
4,DC:A6:32:55:FC:D8,2020-07-04 15:53:32.024452,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
5,DC:A6:32:55:FC:D8,2020-07-04 15:53:34.009546,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-69,3.0
6,DC:A6:32:55:FC:D8,2020-07-04 15:53:36.014771,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
7,DC:A6:32:55:FC:D8,2020-07-04 15:53:38.019879,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
8,DC:A6:32:55:FC:D8,2020-07-04 15:53:39.024911,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-74,3.0
9,DC:A6:32:55:FC:D8,2020-07-04 15:53:40.312547,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-83,3.0
10,DC:A6:32:55:FC:D8,2020-07-04 15:53:41.053708,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-74,3.0
11,DC:A6:32:55:FC:D8,2020-07-04 15:53:42.040059,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
12,DC:A6:32:55:FC:D8,2020-07-04 15:53:43.032630,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-83,3.0
13,DC:A6:32:55:FC:D8,2020-07-04 15:53:44.522813,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-74,3.0
14,DC:A6:32:55:FC:D8,2020-07-04 15:53:45.169122,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71,3.0
15,DC:A6:32:55:FC:D8,2020-07-04 15:53:47.174223,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-83,3.0
16,DC:A6:32:55:FC:D8,2020-07-04 15:53:49.179353,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
17,DC:A6:32:55:FC:D8,2020-07-04 15:53:50.243290,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-82,3.0
18,DC:A6:32:55:FC:D8,2020-07-04 15:53:51.433247,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-81,3.0
19,DC:A6:32:55:FC:D8,2020-07-04 15:53:52.204558,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-74,3.0
20,DC:A6:32:55:FC:D8,2020-07-04 15:53:54.209778,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
21,DC:A6:32:55:FC:D8,2020-07-04 15:53:56.032556,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
22,DC:A6:32:55:FC:D8,2020-07-04 15:53:57.064983,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71,3.0
23,DC:A6:32:55:FC:D8,2020-07-04 15:53:58.283814,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
24,DC:A6:32:55:FC:D8,2020-07-04 15:53:59.547174,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
25,DC:A6:32:55:FC:D8,2020-07-04 15:54:00.011399,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
26,DC:A6:32:55:FC:D8,2020-07-04 15:54:01.559286,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
27,DC:A6:32:55:FC:D8,2020-07-04 15:54:02.009162,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-80,3.0
28,DC:A6:32:55:FC:D8,2020-07-04 15:54:04.014327,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-79,3.0
29,DC:A6:32:55:FC:D8,2020-07-04 15:54:05.237671,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-83,3.0
30,DC:A6:32:55:FC:D8,2020-07-04 15:54:06.428270,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
31,DC:A6:32:55:FC:D8,2020-07-04 15:54:08.432951,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
32,DC:A6:32:55:FC:D8,2020-07-04 15:54:09.292417,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
33,DC:A6:32:55:FC:D8,2020-07-04 15:54:10.308775,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-83,3.0
34,DC:A6:32:55:FC:D8,2020-07-04 15:54:12.313976,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72,3.0
35,DC:A6:32:55:FC:D8,2020-07-04 15:54:14.315400,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
36,DC:A6:32:55:FC:D8,2020-07-04 15:54:15.124266,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
37,DC:A6:32:55:FC:D8,2020-07-04 15:54:16.723020,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73,3.0
38,DC:A6:32:55:FC:D8,2020-07-04 15:54:17.325646,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-74,3.0
39,DC:A6:32:55:FC:D8,2020-07-04 15:54:18.723237,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-84,3.0
